"date","V1"
"2012-11-02",1
"2012-12-14",1
"2012-12-21",6
"2012-12-24",6
"2012-12-27",6
"2013-02-16",1
"2013-02-19",2
"2013-03-11",3
"2013-03-12",19
"2013-03-19",1
"2013-03-25",1
"2013-04-06",1
"2013-04-15",1
"2013-05-09",1
"2013-05-15",1
"2013-05-29",1
"2013-06-14",1
"2013-06-15",1
"2013-07-06",1
"2013-08-06",1
"2013-08-08",18
"2013-08-12",5
"2013-08-15",1
"2013-08-16",18
"2013-09-01",20
"2013-09-02",4
"2013-09-04",1
"2013-09-06",1
"2013-09-07",2
"2013-09-08",4
"2013-09-09",1
"2013-09-10",1
"2013-09-14",1
"2013-09-17",1
"2013-09-22",1
"2013-09-23",21
"2013-09-24",6
"2013-10-07",2
"2013-10-13",1
"2013-11-10",1
"2013-11-16",1
"2013-11-17",2
"2013-11-22",1
"2013-12-01",4
"2013-12-05",1
"2013-12-06",1
"2013-12-08",1
"2013-12-11",1
"2013-12-12",1
"2013-12-23",3
"2014-01-01",1
"2014-01-06",1
"2014-01-07",1
"2014-01-13",5
"2014-01-14",6
"2014-01-28",1
"2014-02-01",1
"2014-02-22",2
"2014-02-27",1
"2014-03-03",19
"2014-03-04",10
"2014-03-05",1
"2014-03-10",10
"2014-03-15",2
"2014-03-31",1
"2014-04-16",1
"2014-04-19",1
"2014-04-25",2
"2014-05-12",1
"2014-05-27",1
"2014-06-05",1
"2014-06-13",1
"2014-06-14",1
"2014-06-17",1
"2014-06-20",1
"2014-06-21",1
"2014-06-22",1
"2014-06-23",1
"2014-06-29",2
"2014-06-30",1
"2014-07-08",1
"2014-07-09",1
"2014-07-10",1
"2014-07-11",1
"2014-07-16",1
"2014-07-18",1
"2014-07-22",1
"2014-07-28",1
"2014-08-01",1
"2014-08-02",1
"2014-08-04",10
"2014-08-06",10
"2014-08-07",1
"2014-08-08",1
"2014-08-09",10
"2014-08-12",7
"2014-08-13",3
"2014-08-16",10
"2014-08-18",13
"2014-08-19",5
"2014-08-23",10
"2014-08-29",1
"2014-08-30",10
"2014-08-31",1
"2014-09-06",10
"2014-09-07",1
"2014-09-09",1
"2014-09-12",1
"2014-09-13",11
"2014-09-15",1
"2014-09-17",1
"2014-09-18",1
"2014-09-20",8
"2014-09-25",1
"2014-09-26",1
"2014-09-27",9
"2014-09-28",1
"2014-10-04",10
"2014-10-05",1
"2014-10-09",1
"2014-10-11",9
"2014-10-18",10
"2014-10-19",1
"2014-10-21",10
"2014-10-22",2
"2014-10-25",10
"2014-11-01",10
"2014-11-03",1
"2014-11-06",7
"2014-11-08",10
"2014-11-09",1
"2014-11-15",10
"2014-11-16",1
"2014-11-22",10
"2014-11-29",10
"2014-12-06",11
"2014-12-07",1
"2014-12-11",2
"2014-12-12",1
"2014-12-13",12
"2014-12-14",1
"2014-12-15",2
"2014-12-18",2
"2014-12-20",10
"2014-12-24",1
"2014-12-26",1
"2014-12-27",10
"2015-01-01",1
"2015-01-03",10
"2015-01-05",1
"2015-01-08",1
"2015-01-09",1
"2015-01-10",10
"2015-01-13",2
"2015-01-15",3
"2015-01-17",10
"2015-01-18",11
"2015-01-19",1
"2015-01-24",10
"2015-01-26",2
"2015-01-27",2
"2015-01-28",1
"2015-01-31",11
