"date","V1"
"2012-11-01",109
"2012-11-02",139
"2012-11-03",81
"2012-11-04",80
"2012-11-05",174
"2012-11-06",218
"2012-11-07",183
"2012-11-08",223
"2012-11-09",227
"2012-11-10",102
"2012-11-11",106
"2012-11-12",185
"2012-11-13",287
"2012-11-14",273
"2012-11-15",225
"2012-11-16",249
"2012-11-17",113
"2012-11-18",131
"2012-11-19",242
"2012-11-20",262
"2012-11-21",285
"2012-11-22",214
"2012-11-23",199
"2012-11-24",131
"2012-11-25",135
"2012-11-26",290
"2012-11-27",325
"2012-11-28",328
"2012-11-29",294
"2012-11-30",308
"2012-12-01",210
"2012-12-02",189
"2012-12-03",327
"2012-12-04",337
"2012-12-05",338
"2012-12-06",428
"2012-12-07",531
"2012-12-08",204
"2012-12-09",224
"2012-12-10",405
"2012-12-11",406
"2012-12-12",393
"2012-12-13",337
"2012-12-14",293
"2012-12-15",207
"2012-12-16",165
"2012-12-17",334
"2012-12-18",351
"2012-12-19",356
"2012-12-20",318
"2012-12-21",225
"2012-12-22",186
"2012-12-23",137
"2012-12-24",143
"2012-12-25",114
"2012-12-26",170
"2012-12-27",196
"2012-12-28",171
"2013-01-01",106
"2013-01-02",227
"2013-01-03",274
"2013-01-04",255
"2013-01-05",218
"2013-01-06",162
"2013-01-07",370
"2013-01-08",437
"2013-01-09",500
"2013-01-10",425
"2013-01-11",521
"2013-01-12",228
"2013-01-13",251
"2013-01-14",424
"2013-01-15",677
"2013-01-16",773
"2013-01-17",432
"2013-01-18",552
"2013-01-19",230
"2013-01-20",242
"2013-01-21",629
"2013-01-22",627
"2013-01-23",498
"2013-01-24",510
"2013-01-25",536
"2013-01-26",239
"2013-01-27",305
"2013-01-28",508
"2013-01-29",617
"2013-01-30",615
"2013-01-31",535
"2013-02-01",500
"2013-02-02",284
"2013-02-03",315
"2013-02-04",582
"2013-02-05",657
"2013-02-06",576
"2013-02-07",578
"2013-02-08",555
"2013-02-09",264
"2013-02-10",314
"2013-02-11",589
"2013-02-12",561
"2013-02-13",618
"2013-02-14",521
"2013-02-15",544
"2013-02-16",302
"2013-02-17",308
"2013-02-18",544
"2013-02-19",589
"2013-02-20",577
"2013-02-21",561
"2013-02-22",458
"2013-02-23",312
"2013-02-24",324
"2013-02-25",604
"2013-02-26",708
"2013-02-27",584
"2013-02-28",546
"2013-03-01",499
"2013-03-02",301
"2013-03-03",297
"2013-03-04",588
"2013-03-05",703
"2013-03-06",632
"2013-03-07",656
"2013-03-08",694
"2013-03-09",406
"2013-03-10",404
"2013-03-11",749
"2013-03-12",688
"2013-03-13",657
"2013-03-14",740
"2013-03-15",583
"2013-03-16",290
"2013-03-17",306
"2013-03-18",619
"2013-03-19",598
"2013-03-20",628
"2013-03-21",588
"2013-03-22",672
"2013-03-23",241
"2013-03-24",304
"2013-03-25",530
"2013-03-26",533
"2013-03-27",581
"2013-03-28",500
"2013-03-29",370
"2013-03-30",219
"2013-03-31",218
"2013-04-01",511
"2013-04-02",596
"2013-04-03",661
"2013-04-04",869
"2013-04-05",685
"2013-04-06",481
"2013-04-07",363
"2013-04-08",733
"2013-04-09",891
"2013-04-10",766
"2013-04-11",726
"2013-04-12",664
"2013-04-13",344
"2013-04-14",343
"2013-04-15",732
"2013-04-16",799
"2013-04-17",686
"2013-04-18",818
"2013-04-19",706
"2013-04-20",359
"2013-04-21",347
"2013-04-22",743
"2013-04-23",797
"2013-04-24",770
"2013-04-25",791
"2013-04-26",716
"2013-04-27",342
"2013-04-28",332
"2013-04-29",766
"2013-04-30",762
"2013-05-01",600
"2013-05-02",646
"2013-05-03",624
"2013-05-04",301
"2013-05-05",338
"2013-05-06",704
"2013-05-07",754
"2013-05-08",712
"2013-05-09",660
"2013-05-10",627
"2013-05-11",364
"2013-05-12",304
"2013-05-13",917
"2013-05-14",741
"2013-05-15",789
"2013-05-16",779
"2013-05-17",656
"2013-05-18",384
"2013-05-19",313
"2013-05-20",798
"2013-05-21",792
"2013-05-22",756
"2013-05-23",1102
"2013-05-24",738
"2013-05-25",250
"2013-05-26",321
"2013-05-27",502
"2013-05-28",895
"2013-05-29",846
"2013-05-30",706
"2013-05-31",642
"2013-06-01",291
"2013-06-02",355
"2013-06-03",655
"2013-06-04",806
"2013-06-05",720
"2013-06-06",767
"2013-06-07",606
"2013-06-08",312
"2013-06-09",310
"2013-06-10",837
"2013-06-11",732
"2013-06-12",846
"2013-06-13",781
"2013-06-14",693
"2013-06-15",334
"2013-06-16",313
"2013-06-17",722
"2013-06-18",743
"2013-06-19",800
"2013-06-20",761
"2013-06-21",642
"2013-06-22",278
"2013-06-23",283
"2013-06-24",727
"2013-06-25",867
"2013-06-26",772
"2013-06-27",764
"2013-06-28",648
"2013-06-29",280
"2013-06-30",239
"2013-07-01",743
"2013-07-02",761
"2013-07-03",735
"2013-07-04",593
"2013-07-05",573
"2013-07-06",283
"2013-07-07",308
"2013-07-08",711
"2013-07-09",958
"2013-07-10",758
"2013-07-11",738
"2013-07-12",622
"2013-07-13",257
"2013-07-14",293
"2013-07-15",750
"2013-07-16",832
"2013-07-17",799
"2013-07-18",733
"2013-07-19",772
"2013-07-20",292
"2013-07-21",306
"2013-07-22",654
"2013-07-23",769
"2013-07-24",764
"2013-07-25",814
"2013-07-26",620
"2013-07-27",294
"2013-07-28",253
"2013-07-29",661
"2013-07-30",723
"2013-07-31",716
"2013-08-01",712
"2013-08-02",629
"2013-08-03",292
"2013-08-04",291
"2013-08-05",667
"2013-08-06",724
"2013-08-07",729
"2013-08-08",744
"2013-08-09",621
"2013-08-10",308
"2013-08-11",308
"2013-08-12",759
"2013-08-13",810
"2013-08-14",793
"2013-08-15",662
"2013-08-16",708
"2013-08-17",288
"2013-08-18",270
"2013-08-19",762
"2013-08-20",750
"2013-08-21",895
"2013-08-22",763
"2013-08-23",681
