"date","V1"
"2013-09-09",3
"2013-09-10",1
"2013-09-11",6
"2013-09-12",5
"2013-09-13",6
"2013-09-14",5
"2013-09-16",8
"2013-09-17",4
"2013-09-18",4
"2013-09-19",4
"2013-09-20",8
"2013-09-21",4
"2013-09-22",1
"2013-09-23",11
"2013-09-24",6
"2013-09-25",4
"2013-09-26",5
"2013-09-27",8
"2013-09-28",5
"2013-09-29",5
"2013-09-30",8
"2013-10-01",2
"2013-10-02",4
"2013-10-03",3
"2013-10-04",3
"2013-10-05",4
"2013-10-06",1
"2013-10-07",5
"2013-10-08",14
"2013-10-09",5
"2013-10-10",6
"2013-10-11",5
"2013-10-12",2
"2013-10-13",4
"2013-10-14",4
"2013-10-15",8
"2013-10-16",4
"2013-10-17",4
"2013-10-18",9
"2013-10-19",3
"2013-10-20",6
"2013-10-21",8
"2013-10-22",5
"2013-10-23",4
"2013-10-24",2
"2013-10-25",2
"2013-10-26",3
"2013-10-27",7
"2013-10-28",3
"2013-10-29",5
"2013-10-30",1
"2013-10-31",4
"2013-11-01",3
"2013-11-02",1
"2013-11-04",1
"2013-11-05",6
"2013-11-06",6
"2013-11-07",9
"2013-11-08",3
"2013-11-09",4
"2013-11-10",9
"2013-11-11",3
"2013-11-12",3
"2013-11-13",5
"2013-11-14",9
"2013-11-15",2
"2013-11-16",3
"2013-11-17",2
"2013-11-18",7
"2013-11-19",8
"2013-11-20",4
"2013-11-21",2
"2013-11-22",5
"2013-11-23",3
"2013-11-24",4
"2013-11-25",4
"2013-11-26",5
"2013-11-27",7
"2013-11-28",3
"2013-11-29",3
"2013-11-30",1
"2013-12-01",1
"2013-12-02",5
"2013-12-03",4
"2013-12-04",14
"2013-12-05",4
"2013-12-06",1
"2013-12-07",2
"2013-12-08",3
"2013-12-09",4
"2013-12-10",8
"2013-12-11",6
"2013-12-13",8
"2013-12-14",6
"2013-12-15",1
"2013-12-16",3
"2013-12-17",3
"2013-12-18",2
"2013-12-19",2
"2013-12-20",7
"2013-12-21",2
"2013-12-22",4
"2013-12-23",4
"2013-12-24",1
"2013-12-26",3
"2013-12-27",2
"2013-12-28",4
"2013-12-29",5
"2013-12-30",1
"2013-12-31",2
"2014-01-01",2
"2014-01-03",1
"2014-01-04",3
"2014-01-05",2
"2014-01-06",3
"2014-01-07",7
"2014-01-08",3
"2014-01-09",26
"2014-01-10",23
"2014-01-11",5
"2014-01-12",4
"2014-01-13",3
"2014-01-14",32
"2014-01-15",9
"2014-01-16",11
"2014-01-18",2
"2014-01-19",4
"2014-01-20",1
"2014-01-21",4
"2014-01-22",1
"2014-01-23",3
"2014-01-24",3
"2014-01-25",1
"2014-01-26",2
"2014-01-27",4
"2014-01-28",5
"2014-01-29",3
"2014-01-30",5
"2014-01-31",2
"2014-02-01",2
"2014-02-02",4
"2014-02-03",6
"2014-02-04",8
"2014-02-05",4
"2014-02-06",6
"2014-02-07",2
"2014-02-08",6
"2014-02-09",9
"2014-02-10",11
"2014-02-11",11
"2014-02-12",5
"2014-02-13",7
"2014-02-14",37
"2014-02-15",2
"2014-02-16",8
"2014-02-17",7
"2014-02-18",7
"2014-02-19",4
"2014-02-20",6
"2014-02-21",9
"2014-02-22",3
"2014-02-23",4
"2014-02-24",3
"2014-02-25",7
"2014-02-26",9
"2014-02-27",5
"2014-02-28",7
"2014-03-01",3
"2014-03-02",3
"2014-03-03",4
"2014-03-04",12
"2014-03-05",8
"2014-03-06",8
"2014-03-07",10
"2014-03-08",8
"2014-03-09",3
"2014-03-10",9
"2014-03-11",10
"2014-03-12",5
"2014-03-13",2
"2014-03-14",2
"2014-03-15",6
"2014-03-16",4
"2014-03-17",8
"2014-03-18",8
"2014-03-19",4
"2014-03-20",5
"2014-03-21",21
"2014-03-22",8
"2014-03-24",6
"2014-03-25",24
"2014-03-26",6
"2014-03-27",16
"2014-03-28",7
"2014-03-29",6
"2014-03-30",10
"2014-03-31",12
"2014-04-01",9
"2014-04-02",8
"2014-04-03",2
"2014-04-04",21
"2014-04-05",5
"2014-04-06",3
"2014-04-07",11
"2014-04-08",10
"2014-04-09",10
"2014-04-10",4
"2014-04-11",6
"2014-04-12",11
"2014-04-13",9
"2014-04-14",12
"2014-04-15",11
"2014-04-16",5
"2014-04-17",5
"2014-04-18",7
"2014-04-19",6
"2014-04-20",3
"2014-04-21",8
"2014-04-22",5
"2014-04-23",5
"2014-04-24",12
"2014-04-25",7
"2014-04-26",10
"2014-04-27",12
"2014-04-28",3
"2014-04-29",3
"2014-04-30",6
"2014-05-01",1
"2014-05-03",6
"2014-05-04",2
"2014-05-05",6
"2014-05-06",11
"2014-05-07",3
"2014-05-08",8
"2014-05-09",6
"2014-05-10",2
"2014-05-11",3
"2014-05-12",2
"2014-05-13",9
"2014-05-14",6
"2014-05-15",5
"2014-05-16",14
"2014-05-17",5
"2014-05-18",3
"2014-05-19",6
"2014-05-20",4
"2014-05-21",15
"2014-05-22",7
"2014-05-23",3
"2014-05-24",1
"2014-05-25",3
"2014-05-27",5
"2014-05-28",5
"2014-05-29",9
"2014-05-30",4
"2014-05-31",18
"2014-06-01",5
"2014-06-02",12
"2014-06-03",7
"2014-06-04",7
"2014-06-05",7
"2014-06-06",9
"2014-06-07",2
"2014-06-08",4
"2014-06-09",14
"2014-06-10",7
"2014-06-11",11
"2014-06-12",6
"2014-06-13",42
"2014-06-14",9
"2014-06-15",13
"2014-06-16",12
"2014-06-17",12
"2014-06-18",6
"2014-06-19",9
"2014-06-20",13
"2014-06-21",13
"2014-06-22",9
"2014-06-23",3
"2014-06-24",1
"2014-06-25",16
"2014-06-26",11
"2014-06-27",7
"2014-06-28",1
"2014-06-29",1
"2014-06-30",7
"2014-07-01",6
"2014-07-02",3
"2014-07-03",6
"2014-07-04",2
"2014-07-05",3
"2014-07-06",2
"2014-07-07",6
"2014-07-08",17
"2014-07-09",32
"2014-07-10",14
"2014-07-11",11
"2014-07-12",15
"2014-07-13",5
"2014-07-14",11
"2014-07-15",10
"2014-07-16",10
"2014-07-17",12
"2014-07-18",9
"2014-07-19",4
"2014-07-20",4
"2014-07-21",12
"2014-07-22",7
"2014-07-23",9
"2014-07-24",1
"2014-07-25",6
"2014-07-26",3
"2014-07-27",3
"2014-07-28",7
"2014-07-29",4
"2014-07-30",9
"2014-07-31",6
"2014-08-01",10
"2014-08-02",3
"2014-08-03",3
"2014-08-04",12
"2014-08-05",30
"2014-08-06",12
"2014-08-07",19
"2014-08-08",10
"2014-08-09",5
"2014-08-10",16
"2014-08-11",14
"2014-08-12",6
"2014-08-13",8
"2014-08-14",13
"2014-08-15",4
"2014-08-16",5
"2014-08-17",12
"2014-08-18",13
"2014-08-19",7
"2014-08-20",13
"2014-08-21",9
"2014-08-22",6
"2014-08-23",4
"2014-08-24",7
"2014-08-25",11
"2014-08-26",14
"2014-08-27",8
"2014-08-28",13
"2014-08-29",5
"2014-08-30",7
"2014-08-31",13
"2014-09-01",14
"2014-09-02",6
"2014-09-03",5
"2014-09-04",4
"2014-09-05",2
"2014-09-06",7
"2014-09-07",8
"2014-09-08",14
"2014-09-09",8
"2014-09-10",4
"2014-09-11",7
"2014-09-12",7
"2014-09-13",6
"2014-09-14",8
"2014-09-15",10
"2014-09-16",9
"2014-09-17",11
"2014-09-18",6
"2014-09-19",6
"2014-09-20",2
"2014-09-21",6
"2014-09-22",2
"2014-09-23",1
"2014-09-24",4
"2014-09-25",6
"2014-09-26",6
"2014-09-27",2
"2014-09-28",5
"2014-09-29",12
"2014-09-30",12
"2014-10-01",8
"2014-10-02",8
"2014-10-03",7
"2014-10-04",1
"2014-10-05",9
"2014-10-06",5
"2014-10-07",7
"2014-10-08",17
"2014-10-09",10
"2014-10-10",11
"2014-10-11",2
"2014-10-12",6
"2014-10-13",16
"2014-10-14",9
"2014-10-15",4
"2014-10-16",9
"2014-10-17",13
"2014-10-18",9
"2014-10-19",7
"2014-10-20",7
"2014-10-21",16
"2014-10-22",25
"2014-10-23",21
"2014-10-24",33
"2014-10-25",20
"2014-10-26",20
"2014-10-27",34
"2014-10-28",7
"2014-10-29",6
"2014-10-30",11
"2014-10-31",5
"2014-11-01",12
"2014-11-02",10
"2014-11-03",15
"2014-11-04",7
"2014-11-05",20
"2014-11-06",25
"2014-11-07",12
"2014-11-08",6
"2014-11-09",11
"2014-11-10",12
"2014-11-11",12
"2014-11-12",14
"2014-11-13",23
"2014-11-14",6
"2014-11-15",6
"2014-11-16",7
"2014-11-17",17
"2014-11-18",11
"2014-11-19",8
"2014-11-20",8
"2014-11-21",7
"2014-11-22",3
"2014-11-23",9
"2014-11-24",13
"2014-11-25",7
"2014-11-26",11
"2014-11-27",10
"2014-11-28",4
"2014-11-29",2
"2014-11-30",4
"2014-12-01",13
"2014-12-02",21
"2014-12-03",14
"2014-12-04",8
"2014-12-05",12
"2014-12-06",5
"2014-12-07",9
"2014-12-08",5
"2014-12-09",6
"2014-12-10",8
"2014-12-11",4
"2014-12-12",5
"2014-12-13",7
"2014-12-14",3
"2014-12-15",10
"2014-12-16",9
"2014-12-17",7
"2014-12-18",9
"2014-12-19",6
"2014-12-20",10
"2014-12-21",6
"2014-12-22",6
"2014-12-23",6
"2014-12-24",8
"2014-12-25",5
"2014-12-26",3
"2014-12-27",10
"2014-12-28",8
"2014-12-29",10
"2014-12-30",7
"2014-12-31",4
"2015-01-01",2
"2015-01-02",8
"2015-01-03",4
"2015-01-04",6
"2015-01-05",12
"2015-01-06",11
"2015-01-07",11
"2015-01-08",11
"2015-01-09",30
"2015-01-10",9
"2015-01-11",10
"2015-01-12",7
"2015-01-13",4
"2015-01-14",21
"2015-01-15",8
"2015-01-16",59
"2015-01-17",7
"2015-01-18",15
"2015-01-19",16
"2015-01-20",6
"2015-01-21",14
"2015-01-22",8
"2015-01-23",8
"2015-01-24",7
"2015-01-25",9
"2015-01-26",10
"2015-01-27",10
"2015-01-28",11
"2015-01-29",5
"2015-01-30",8
"2015-01-31",5
"2015-02-01",8
